010Supervisor Team 1             0102
011Interviewer 1 Team 1          0111
012Interviewer 2 Team 1          0112
013Interviewer 3 Team 1          0111
014Interviewer 4 Team 1          0112
020Supervisor Team 2             0201
021Interviewer 1 Team 2          0212
022Interviewer 2 Team 2          0211
023Interviewer 3 Team 2          0212
024Interviewer 4 Team 2          0211
030Supervisor Team 3             0302
031Interviewer 1 Team 3          0311
032Interviewer 2 Team 3          0312
033Interviewer 3 Team 3          0311
034Interviewer 4 Team 3          0312
040Supervisor Team 4             0401
041Interviewer 1 Team 4          0412
042Interviewer 2 Team 4          0411
043Interviewer 3 Team 4          0412
044Interviewer 4 Team 4          0411
050Supervisor Team 5             0502
051Interviewer 1 Team 5          0511
052Interviewer 2 Team 5          0512
053Interviewer 3 Team 5          0511
054Interviewer 4 Team 5          0512
060Supervisor Team 6             0601
061Interviewer 1 Team 6          0612
062Interviewer 2 Team 6          0611
063Interviewer 3 Team 6          0612
064Interviewer 4 Team 6          0611
070Supervisor Team 7             0702
071Interviewer 1 Team 7          0711
072Interviewer 2 Team 7          0712
073Interviewer 3 Team 7          0711
074Interviewer 4 Team 7          0712
080Supervisor Team 8             0801
081Interviewer 1 Team 8          0812
082Interviewer 2 Team 8          0811
083Interviewer 3 Team 8          0812
084Interviewer 4 Team 8          0811
090Supervisor Team 9             0902
091Interviewer 1 Team 9          0911
092Interviewer 2 Team 9          0912
093Interviewer 3 Team 9          0911
094Interviewer 4 Team 9          0912
100Supervisor Team 10            1001
101Interviewer 1 Team 10         1012
102Interviewer 2 Team 10         1011
103Interviewer 3 Team 10         1012
104Interviewer 4 Team 10         1011
110Supervisor Team 11            1102
111Interviewer 1 Team 11         1111
112Interviewer 2 Team 11         1112
113Interviewer 3 Team 11         1111
114Interviewer 4 Team 11         1112
120Supervisor Team 12            1201
121Interviewer 1 Team 12         1212
122Interviewer 2 Team 12         1211
123Interviewer 3 Team 12         1212
124Interviewer 4 Team 12         1211
130Supervisor Team 13            1302
131Interviewer 1 Team 13         1311
132Interviewer 2 Team 13         1312
133Interviewer 3 Team 13         1311
134Interviewer 4 Team 13         1312
140Supervisor Team 14            1401
141Interviewer 1 Team 14         1412
142Interviewer 2 Team 14         1411
143Interviewer 3 Team 14         1412
144Interviewer 4 Team 14         1411
150Supervisor Team 15            1502
151Interviewer 1 Team 15         1511
152Interviewer 2 Team 15         1512
153Interviewer 3 Team 15         1511
154Interviewer 4 Team 15         1512
160Supervisor Team 16            1601
161Interviewer 1 Team 16         1612
162Interviewer 2 Team 16         1611
163Interviewer 3 Team 16         1612
164Interviewer 4 Team 16         1611
